Street,Event,Event Date/Time,Event Nature,P
1000 S MAIN ST,Arrest,5/11/13 1:45,INTOXICATED AND DISRUPTIVE,0.8
1000 S MAIN ST,Arrest,9/8/14 17:52,COMMUNICATING THREATS,0.8
1000 S MAIN ST,Arrest,9/8/14 17:52,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1000 S MAIN ST,Arrest,1/18/12 17:00,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1000 S MAIN ST,Arrest,5/11/13 1:45,MISUSE OF 911 SYSTEM,0.8
1000 S MAIN ST,Arrest,2/2/13 0:42,ASSAULT ON FEMALE,0.8
1000 S MAIN ST,Arrest,2/2/13 0:42,ASSAULT & BATTERY,0.8
1000 S MAIN ST,Arrest,1/18/12 17:00,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1000 S MAIN ST,Arrest,2/2/13 0:42,ASSAULT ON FEMALE,0.8
1000 S MAIN ST,Arrest,9/8/14 17:52,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1000 S MAIN ST,Arrest,9/8/14 17:52,COMMUNICATING THREATS,0.8
1000 S MAIN ST,Arrest,5/11/13 1:45,INTOXICATED AND DISRUPTIVE,0.8
1000 S MAIN ST,Arrest,5/11/13 1:45,MISUSE OF 911 SYSTEM,0.8
1000 S MAIN ST,Call,5/25/13 12:58,DOMESTIC DISTURBANCE IP,0.8
1000 S MAIN ST,Call,2/2/13 12:42,DOMESTIC DISTURBANCE IP,0.8
1000 S MAIN ST,Report,2/2/13 0:42,DOMESTIC DISTUR,0.8
1000-A RICHLAND ST,Call,5/23/14 9:33,DOMESTIC DISTURBANCE,0.8
1000-A RICHLAND ST,Call,8/5/12 12:49,DOMESTIC DISTURBANCE IP,0.8
1000-A RICHLAND ST,Call,12/5/11 4:10,DOMESTIC DISTURBANCE IP,0.8
1000-A RICHLAND ST,Report,12/5/11 16:00,ASSAULT,0.8
1000-A RICHLAND ST,Report,5/19/12 9:15,DOMESTIC DISTUR,0.8
1000-B E KEARNS AV,Call,3/10/12 11:06,DOMESTIC DISTURBANCE,0.8
1000-B SALES ST,Call,5/29/14 4:47,DOMESTIC DISTURBANCE IP,0.8
1000-B SALES ST,Call,10/13/12 5:27,DOMESTIC DISTURBANCE,0.8
1000-BLK S MAIN ST,Call,5/1/14 5:30,DOMESTIC DISTURBANCE IP,0.8
1000-D SALES ST,Call,12/18/12 10:32,DOMESTIC DISTURBANCE IP,0.8
1001 BASSWOOD AV,Call,10/26/11 7:22,DOMESTIC DISTURBANCE IP,0.8
1001 BURTON AV,Call,6/3/13 6:45,DOMESTIC DISTURBANCE,0.8
1001 CHARLOTTE AV,Call,6/25/13 12:02,DOMESTIC DISTURBANCE,0.8
1001 CHARLOTTE AV,Call,6/21/12 12:58,DOMESTIC DISTURBANCE IP,0.8
1001 CHARLOTTE AV,Call,9/4/11 10:41,DOMESTIC DISTURBANCE,0.8
1001 E FAIRFIELD RD,Call,10/30/11 9:10,DOMESTIC DISTURBANCE IP,0.8
1001 E FAIRFIELD RD,Call,10/30/11 6:05,DOMESTIC DISTURBANCE IP,0.8
1001 E KEARNS AV,Call,10/4/13 4:29,DOMESTIC DISTURBANCE IP,0.8
1001 GRANBY AV,Call,11/2/14 1:17,DOMESTIC DISTURBANCE,0.8
1001 GRANBY AV,Call,10/10/14 5:59,DOMESTIC DISTURBANCE IP,0.8
1001 GRANBY AV,Call,5/30/14 12:18,DOMESTIC DISTURBANCE IP,0.8
1001 GRANBY AV,Call,3/4/14 9:18,DOMESTIC DISTURBANCE IP,0.8
1001 PARK ST,Call,7/4/14 4:19,DOMESTIC DISTURBANCE IP,0.8
1001 RICHLAND ST,Call,11/8/12 3:44,DOMESTIC DISTURBANCE IP,0.8
1001-A WILSON PL,Call,9/11/12 10:55,DOMESTIC DISTURBANCE,0.8
1001-A WILSON PL,Call,9/6/12 10:57,DOMESTIC DISTURBANCE,0.8
1001-A WILSON PL,Call,4/24/12 10:22,DOMESTIC DISTURBANCE IP,0.8
1001-B TIPTON ST,Call,10/23/11 12:25,DOMESTIC DISTURBANCE,0.8
1002 BARBEE AV,Call,12/1/12 2:23,DOMESTIC DISTURBANCE IP,0.8
1002 BARBEE AV,Call,11/12/12 11:45,DOMESTIC DISTURBANCE IP,0.8
1002 BRENTWOOD ST,Call,9/12/11 1:07,DOMESTIC DISTURBANCE,0.8
1002 BRENTWOOD ST,Call,7/4/11 1:02,DOMESTIC DISTURBANCE,0.8
1002 BRENTWOOD ST,Call,7/4/11 12:56,DOMESTIC DISTURBANCE,0.8
1002 BRENTWOOD ST,Call,7/3/11 6:32,DOMESTIC DISTURBANCE,0.8
1002 BRENTWOOD ST,Call,4/24/11 2:38,DOMESTIC DISTURBANCE,0.8
1002 BURTON AV,Call,4/1/12 4:14,DOMESTIC DISTURBANCE IP,0.8
1002 CHARLOTTE AV,Arrest,1/8/13 4:00,AFFRAY OR SIMPLE ASSAULT,0.8
1002 CHARLOTTE AV,Arrest,1/8/13 5:41,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1002 CHARLOTTE AV,Call,1/8/13 3:40,DOMESTIC DISTURBANCE IP,0.8
1002 CHARLOTTE AV,Call,10/10/12 2:50,DOMESTIC DISTURBANCE IP,0.8
1002 CHARLOTTE AV,Report,1/8/13 3:40,DOMESTIC DISTUR,0.8
1002 E FAIRFIELD RD,Call,5/24/11 7:10,DOMESTIC DISTURBANCE,0.8
1002 E FAIRFIELD RD,Call,5/24/11 4:00,DOMESTIC DISTURBANCE,0.8
1002 GRANT ST,Call,10/12/14 12:23,DOMESTIC DISTURBANCE IP,0.8
1002 GRANT ST,Call,9/8/14 12:15,DOMESTIC DISTURBANCE IP,0.8
1002 GRANT ST,Call,11/20/11 1:40,DOMESTIC DISTURBANCE IP,0.8
1002 GRANT ST,Report,11/20/11 1:40,ASSAULT WITH DE,0.8
1002 NATHAN HUNT DR,Call,10/17/11 8:19,DOMESTIC DISTURBANCE,0.8
1002 PINEBURR RD,Call,6/16/14 11:37,DOMESTIC DISTURBANCE IP,0.8
1002 PINEBURR RD,Call,6/16/14 4:29,DOMESTIC DISTURBANCE,0.8
1002 PINEBURR RD,Call,6/16/14 8:13,DOMESTIC DISTURBANCE IP,0.8
1002 PINEBURR RD,Call,1/28/12 10:30,DOMESTIC DISTURBANCE IP,0.8
1002 PINEBURR RD,Call,11/7/11 8:17,DOMESTIC DISTURBANCE IP,0.8
1002 PINEBURR RD,Call,10/18/11 12:21,DOMESTIC DISTURBANCE,0.8
1002 PINEBURR RD,Call,10/17/11 11:06,DOMESTIC DISTURBANCE IP,0.8
1002 PINEBURR RD,Call,9/29/11 11:09,DOMESTIC DISTURBANCE IP,0.8
1002 PINEBURR RD,Report,1/28/12 22:28,DOMESTIC DISTUR,0.8
1002 PINEBURR RD,Report,6/16/14 16:30,DOMESTIC DISTUR,0.8
1002 PINEBURR RD,Report,11/7/11 20:00,DOMESTIC DISTUR,0.8
1002 STANTON PL,Call,2/17/12 8:41,DOMESTIC DISTURBANCE,0.8
1003 CHEROKEE CT,Call,3/11/12 4:12,DOMESTIC DISTURBANCE IP,0.8
1003 CHEROKEE CT,Report,3/11/12 4:05,DOMESTIC DISTUR,0.8
1003 GRANBY AV,Call,5/21/12 4:24,DOMESTIC DISTURBANCE,0.8
1003 GRANBY AV,Call,4/14/11 5:33,DOMESTIC DISTURBANCE,0.8
1003 GRANBY AV,Call,4/14/11 4:56,DOMESTIC DISTURBANCE,0.8
1003 N MAIN ST,Call,1/4/13 3:56,DOMESTIC DISTURBANCE IP,0.8
1003 N MAIN ST,Call,9/4/11 9:24,DOMESTIC DISTURBANCE,0.8
1003 PINEBURR RD,Call,9/17/11 2:50,DOMESTIC DISTURBANCE IP,0.8
1003 PINEBURR RD,Report,9/17/11 2:49,DOMESTIC DISTUR,0.8
1003 RICHLAND ST,Arrest,11/22/12 0:45,FAILURE TO APPEAR,0.8
1003 RICHLAND ST,Arrest,5/15/13 11:45,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1003 RICHLAND ST,Arrest,7/25/13 13:40,FAILURE TO APPEAR,0.8
1003 RICHLAND ST,Arrest,10/31/14 21:38,FAILURE TO APPEAR,0.8
1003 RICHLAND ST,Call,10/31/14 9:13,DOMESTIC DISTURBANCE IP,0.8
1003-1 N MAIN ST,Call,7/3/12 4:08,DOMESTIC DISTURBANCE IP,0.8
1003-14 N MAIN ST,Call,9/15/12 3:11,DOMESTIC DISTURBANCE,0.8
1003-18 N MAIN ST,Call,5/21/14 1:07,DOMESTIC DISTURBANCE,0.8
1003-18 N MAIN ST,Call,9/27/11 1:22,DOMESTIC DISTURBANCE IP,0.8
1003-18 N MAIN ST,Report,9/27/11 13:20,DOMESTIC DISTUR,0.8
1003-2 N MAIN ST,Call,2/28/13 8:40,DOMESTIC DISTURBANCE IP,0.8
1003-2 N MAIN ST,Call,2/10/13 9:15,DOMESTIC DISTURBANCE IP,0.8
1003-A RICHLAND ST,Call,11/29/13 1:40,DOMESTIC DISTURBANCE,0.8
1003-A RICHLAND ST,Call,11/20/13 11:30,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Arrest,11/26/12 21:40,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1004 CHARLOTTE AV,Call,10/29/14 3:02,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,10/28/14 11:59,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,10/28/14 5:23,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,8/17/14 1:45,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,7/27/14 11:29,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,7/27/14 8:55,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,5/6/14 7:47,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,4/15/14 10:25,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,3/3/14 3:53,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,2/15/14 9:03,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,12/12/13 9:00,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,11/14/13 12:13,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,11/13/13 11:19,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,9/29/13 6:40,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,8/26/13 1:52,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,8/25/13 6:13,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,7/25/13 11:29,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,7/15/13 2:48,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,6/24/13 7:16,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,1/20/13 12:25,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,11/26/12 8:47,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,11/6/12 7:15,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,10/22/12 3:25,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,10/10/12 10:35,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,9/10/12 6:00,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,7/11/12 1:08,DOMESTIC DISTURBANCE,0.8
1004 CHARLOTTE AV,Call,12/26/11 9:27,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Call,12/26/11 7:57,DOMESTIC DISTURBANCE IP,0.8
1004 CHARLOTTE AV,Report,11/26/12 20:47,DOMESTIC DISTUR,0.8
1004 CHARLOTTE AV,Report,9/29/13 18:40,DOMESTIC DISTUR,0.8
1004 HICKORY CHAPEL RD,Call,12/7/13 6:33,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,3/16/13 6:55,DOMESTIC DISTURBANCE IP,0.8
1004 HICKORY CHAPEL RD,Call,2/1/13 5:49,DOMESTIC DISTURBANCE IP,0.8
1004 HICKORY CHAPEL RD,Call,12/25/12 12:05,DOMESTIC DISTURBANCE IP,0.8
1004 HICKORY CHAPEL RD,Call,10/2/12 7:15,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,9/21/12 11:00,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,3/23/12 12:05,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,1/31/12 10:54,DOMESTIC DISTURBANCE IP,0.8
1004 HICKORY CHAPEL RD,Call,12/29/11 12:23,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,10/29/11 7:01,DOMESTIC DISTURBANCE IP,0.8
1004 HICKORY CHAPEL RD,Call,10/21/11 3:23,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,10/6/11 4:38,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Call,4/28/11 3:59,DOMESTIC DISTURBANCE,0.8
1004 HICKORY CHAPEL RD,Report,8/5/14 16:23,PUBLIC DISTURBA,0.8
1004 HICKORY CHAPEL RD,Report,12/7/13 18:20,UNKNOWN TROUBLE,0.8
1004 LEONARD AV,Call,4/24/14 10:35,DOMESTIC DISTURBANCE IP,0.8
1004 LEONARD AV,Call,4/13/12 4:14,DOMESTIC DISTURBANCE IP,0.8
1004 LEONARD AV,Report,4/13/12 16:14,DOMESTIC DISTUR,0.8
1004 OLD PLANK RD,Call,8/27/13 8:21,DOMESTIC DISTURBANCE IP,0.8
1004 PROCTOR DR,Call,5/6/11 8:59,DOMESTIC DISTURBANCE,0.8
1004 RICHLAND ST,Call,9/23/14 7:47,DOMESTIC DISTURBANCE,0.8
1004 TABOR ST,Call,4/20/11 6:51,DOMESTIC DISTURBANCE,0.8
1004 TESH CT,Call,6/16/14 1:33,DOMESTIC DISTURBANCE IP,0.8
1004 TESH CT,Call,4/28/14 12:08,DOMESTIC DISTURBANCE,0.8
1004 TESH CT,Call,3/31/14 6:32,DOMESTIC DISTURBANCE,0.8
1004 TESH CT,Report,6/16/14 13:33,DOMESTIC DISTUR,0.8
1004-B SALES ST,Call,12/31/11 12:56,DOMESTIC DISTURBANCE,0.8
1005 ALBERT AV,Call,4/14/11 8:01,DOMESTIC DISTURBANCE,0.8
1005 BASSWOOD AV,Call,8/27/14 1:55,DOMESTIC DISTURBANCE IP,0.8
1005 BASSWOOD AV,Call,2/25/12 1:20,DOMESTIC DISTURBANCE IP,0.8
1005 CHARLOTTE AV,Call,7/2/14 2:25,DOMESTIC DISTURBANCE,0.8
1005 CHARLOTTE AV,Call,7/1/14 7:27,DOMESTIC DISTURBANCE IP,0.8
1005 CHARLOTTE AV,Call,9/1/12 3:24,DOMESTIC DISTURBANCE IP,0.8
1005 CHARLOTTE AV,Call,1/30/12 4:21,DOMESTIC DISTURBANCE,0.8
1005 FLINTWOOD CT,Call,9/23/12 1:03,DOMESTIC DISTURBANCE IP,0.8
1005 GRANT ST,Call,10/2/14 1:55,DOMESTIC DISTURBANCE IP,0.8
1005 GRANT ST,Call,7/19/11 4:51,DOMESTIC DISTURBANCE,0.8
1005 JEFFERSON ST,Call,11/29/11 10:12,DOMESTIC DISTURBANCE,0.8
1005 JEFFERSON ST,Call,10/23/11 1:42,DOMESTIC DISTURBANCE,0.8
1005 JEFFERSON ST,Call,9/15/11 6:14,DOMESTIC DISTURBANCE,0.8
1005 PROCTOR DR,Arrest,10/7/12 1:15,IMPAIRED DRIVING,0.8
1005 PROCTOR DR,Arrest,6/24/12 17:00,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
1005 PROCTOR DR,Arrest,10/7/12 1:15,POSS/CONSUME ALCOHOL PASSENGER AREA NOT IN ORIG CONTAINER,0.8
1005 PROCTOR DR,Arrest,6/23/12 20:00,FALSE IMPRISONMENT COMMON LAW,0.8
1005 PROCTOR DR,Arrest,6/24/12 17:00,ASSAULT & BATTERY,0.8
1005 PROCTOR DR,Call,7/21/13 12:03,DOMESTIC DISTURBANCE IP,0.8
1005 PROCTOR DR,Call,7/16/13 10:09,DOMESTIC DISTURBANCE IP,0.8
1005 PROCTOR DR,Call,6/24/12 2:39,DOMESTIC DISTURBANCE IP,0.8
1005 PROCTOR DR,Call,6/23/12 7:44,DOMESTIC DISTURBANCE,0.8
1005 PROCTOR DR,Call,6/6/12 9:30,DOMESTIC DISTURBANCE IP,0.8
1005 PROCTOR DR,Call,5/13/12 2:12,DOMESTIC DISTURBANCE IP,0.8
1005 PROCTOR DR,Report,6/23/12 22:52,DOMESTIC DISTUR,0.8
1005 PROCTOR DR,Report,6/23/12 19:44,DOMESTIC DISTUR,0.8
1005-A GARRISON ST,Call,1/3/12 11:02,DOMESTIC DISTURBANCE IP,0.8
1005-A GARRISON ST,Call,6/18/11 8:01,DOMESTIC DISTURBANCE,0.8
1005-A GARRISON ST,Call,5/23/11 10:20,DOMESTIC DISTURBANCE,0.8
1005-A WILSON PL,Call,9/18/13 3:15,DOMESTIC DISTURBANCE,0.8
1005-A WILSON PL,Report,9/18/13 15:10,DOMESTIC DISTUR,0.8
1005-B GARRISON ST,Call,8/10/14 11:13,DOMESTIC DISTURBANCE IP,0.8
1005-B GARRISON ST,Call,7/28/14 6:01,DOMESTIC DISTURBANCE IP,0.8
1005-B ROBERTS LN,Call,10/16/13 10:41,DOMESTIC DISTURBANCE IP,0.8
1005-B ROBERTS LN,Report,10/16/13 22:41,DOMESTIC DISTUR,0.8
1005-B ROBERTS LN,Report,5/1/12 9:31,DOMESTIC DISTUR,0.8
1005-B WILSON PL,Call,8/16/12 7:52,DOMESTIC DISTURBANCE,0.8
1005-B WILSON PL,Call,8/16/12 6:51,DOMESTIC DISTURBANCE IP,0.8
1006 ALBERT AV,Call,1/1/13 12:03,DOMESTIC DISTURBANCE,0.8
1006 ALBERT AV,Call,3/23/12 6:45,DOMESTIC DISTURBANCE,0.8
1006 ANDERSON PL,Call,7/23/12 10:31,DOMESTIC DISTURBANCE IP,0.8
1006 CAMPBELL ST,Call,9/1/14 1:11,DOMESTIC DISTURBANCE IP,0.8
1006 CHARING CROSS LN,Call,11/21/13 3:48,DOMESTIC DISTURBANCE,0.8
1006 CHARING CROSS LN,Call,10/18/13 2:55,DOMESTIC DISTURBANCE IP,0.8
1006 CHARLOTTE AV,Call,8/8/12 8:41,DOMESTIC DISTURBANCE IP,0.8
1006 LEONARD AV,Call,10/21/13 7:01,DOMESTIC DISTURBANCE IP,0.8
1006 LEONARD AV,Call,9/3/13 9:00,DOMESTIC DISTURBANCE IP,0.8
1006 LEONARD AV,Call,3/10/13 9:44,DOMESTIC DISTURBANCE IP,0.8
